country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
NORWAY	44391	06/30/2021	07/30/2021	0.131	3.28e-05	0.306	0.024	0.0009913906041165077	0.011837382352307425	668	42	369	1164	37.14	0.004196176859632111	0.7490838632732945	0.24671995986707343
NORWAY	44398	07/07/2021	08/06/2021	0.131	4.76e-05	0.318	0.025	0.0014054884378051494	0.011856225688794334	403	26	464	1514	45.22	0.003727446216407887	0.8845987222026807	0.11167383158091146
NY	44320	04/20/2021	05/20/2021	0.061	6.78e-05	0.367	0.056	2.4769621604066545e-05	0.004435071485016393	2199	1054	23	68	80.33	0.43127441847992876	0.019221100048409837	0.5495044814716614
NY	44327	04/27/2021	05/27/2021	0.054	4.81e-05	0.4	0.056	3.4537616448225546e-05	0.004709014565882556	1804	772	37	80	62.04	0.41002183197994013	0.026595232944048874	0.563382935076011
NY	44334	05/04/2021	06/03/2021	0.067	3.51e-05	0.428	0.057	4.5195106958046454e-05	0.004922581779689562	1602	470	53	116	45.45	0.39662658745633295	0.03518819455113523	0.5681852179925319
NY	44341	05/11/2021	06/10/2021	0.085	3.05e-05	0.451	0.057	5.681781030184012e-05	0.005077936810900799	1443	271	65	157	32.67	0.39468927874093607	0.05277090636594817	0.5525398148931158
NY	44348	05/18/2021	06/17/2021	0.101	3.16e-05	0.471	0.057	7.04513400910489e-05	0.0051838860606974934	1141	180	67	218	22.19	0.3833742578047198	0.11033666243869705	0.5062890797565832
NY	44355	05/25/2021	06/24/2021	0.117	3.35e-05	0.489	0.057	8.672199198946498e-05	0.0052495725878279826	853	107	75	313	14.62	0.367179560023062	0.21561549869461272	0.41720494128232527
NY	44362	06/01/2021	07/01/2021	0.128	3.15e-05	0.506	0.057	0.00010635064597323945	0.005286991789151502	552	66	105	574	10.32	0.3237693801312794	0.35318799499868614	0.32304262487003443
NY	44369	06/08/2021	07/08/2021	0.133	3.9e-05	0.522	0.057	0.0001318940042979372	0.0053083670421380106	314	44	144	1088	8.47	0.25905666541423333	0.530251920608405	0.2106914139773617
NY	44376	06/15/2021	07/15/2021	0.148	6.32e-05	0.536	0.057	0.00016689603775485887	0.0053194824487970286	202	24	199	1941	8.95	0.19603508882783838	0.7086388161928641	0.09532609497929756
SPAIN	44326	04/26/2021	05/26/2021	0.071	3.9e-05	0.137	0.077	6.49158503801119e-05	0.017061285970252898	3199	2626	36	247	131.39	0.13726310122831975	0.02908608347881273	0.8336508152928676
